Station ID,Message,,,
014194300,No data available,,,
014110000,No data available,,,
011210100,No data available,,,
011075720,No data available,,,
012377150,No data available,,,
011426400,No data available,,,
010336775,No data available,,,
02105900,No data available,,,
011109600,No data available,,,
06851000,No data available,,,
011526400,No data available,,,
011089000,No data available,,,
07377500,No data available,,,
012201950,No data available,,,
09491000,No data available,,,
016408000,No data available,,,
03509000,No data available,,,
02389000,No data available,,,
012141300,No data available,,,
011376050,No data available,,,
012372000,No data available,,,
013114000,No data available,,,
06744000,No data available,,,
016508000,No data available,,,
08022300,No data available,,,
011416500,No data available,,,
04246500,No data available,,,
04085281,No data available,,,
06928500,No data available,,,
05393000,No data available,,,
010292000,No data available,,,
012512550,No data available,,,
010296500,No data available,,,
010321590,No data available,,,
03092000,No data available,,,
07174700,No data available,,,
03012600,No data available,,,
050045010,No data available,,,
06864050,No data available,,,
016097500,No data available,,,
08268500,No data available,,,
03350500,No data available,,,
08219500,No data available,,,
06648000,No data available,,,
014144900,No data available,,,
011209900,No data available,,,
011085000,No data available,,,
05431017,No data available,,,
05098700,No data available,,,
011467500,No data available,,,
04237500,No data available,,,
06859500,No data available,,,
010271210,No data available,,,
011463000,No data available,,,
012414900,No data available,,,
04233000,No data available,,,
012456500,No data available,,,
013161500,No data available,,,
01624800,No data available,,,
016228000,No data available,,,
01075800,No data available,,,
03229000,No data available,,,
01461300,No data available,,,
01656500,No data available,,,
010349980,No data available,,,
010353700,No data available,,,
06820000,No data available,,,
04083545,No data available,,,
03441440,No data available,,,
014165500,No data available,,,
012431000,No data available,,,
011153650,No data available,,,
03303400,No data available,,,
06752500,No data available,,,
011376440,No data available,,,
06656000,No data available,,,
07361000,No data available,,,
09483000,No data available,,,
015087690,No data available,,,
050071000,No data available,,,
06428200,No data available,,,
02027800,No data available,,,
011251000,No data available,,,
011218400,No data available,,,
014118500,No data available,,,
010310407,No data available,,,
011404500,No data available,,,
011355500,No data available,,,
014018500,No data available,,,
02151000,No data available,,,
06284400,No data available,,,
03184500,No data available,,,
0214253361,No data available,,,
012448500,No data available,,,
02155500,No data available,,,
03180000,No data available,,,
012323850,No data available,,,
08049600,No data available,,,
011363930,No data available,,,
03566000,No data available,,,
08066191,No data available,,,
07047902,No data available,,,
012301300,No data available,,,
03366200,No data available,,,
08051000,No data available,,,
016019000,No data available,,,
06400500,No data available,,,
050090500,No data available,,,
06355000,No data available,,,
014337500,No data available,,,
050058350,No data available,,,
010287720,No data available,,,
01467500,No data available,,,
014237500,No data available,,,
015266300,No data available,,,
01332000,No data available,,,
014080500,No data available,,,
05219000,No data available,,,
011460750,No data available,,,
03487500,No data available,,,
07087200,No data available,,,
03284520,No data available,,,
06479000,No data available,,,
011075800,No data available,,,
010261500,No data available,,,
011528700,No data available,,,
05435000,No data available,,,
011183600,No data available,,,
021536097,No data available,,,
011103000,No data available,,,
02112360,No data available,,,
010206000,No data available,,,
01349840,No data available,,,
04165500,No data available,,,
011482500,No data available,,,
011160000,No data available,,,
04061000,No data available,,,
011164500,No data available,,,
04065500,No data available,,,
02197342,No data available,,,
02343801,No data available,,,
09535100,No data available,,,
07157960,No data available,,,
013055198,No data available,,,
010270800,No data available,,,
0395000000000000,No data available,,,
014350000,No data available,,,
015904800,No data available,,,
08144800,No data available,,,
01484300,No data available,,,
01400000,No data available,,,
03611900,No data available,,,
011119500,No data available,,,
03293510,No data available,,,
013337000,No data available,,,
02299472,No data available,,,
03301700,No data available,,,
07311782,No data available,,,
01403535,No data available,,,
015300250,No data available,,,
02219500,No data available,,,
016304200,No data available,,,
012020000,No data available,,,
013246000,No data available,,,
013242500,No data available,,,
012120000,No data available,,,
011120550,No data available,,,
015803000,No data available,,,
013342500,No data available,,,
07025500,No data available,,,
09096500,No data available,,,
011316700,No data available,,,
014092500,No data available,,,
014225500,No data available,,,
